type,title_en,title_ko,desc_en,desc_ko
published,"What Users Leave Unsaid: Under-Specified Queries Limit Vision-Language Models","사용자가 말하지 않은 것: 불충분히 명세된 질의가 비전-언어 모델을 제약한다","ACL 2026 Findings","ACL 2026 Findings"
published,"Redefining Evaluation Standards: A Unified Framework for Evaluating the Korean Capabilities of Language Models","평가 기준 재정의: 초거대 언어 모델의 한국어 능력 평가를 위한 통합 프레임워크","LREC 2026","LREC 2026"
published,"Intelligent System for Drowsiness Recognition based on Ear Canal Electroencephalography with Photoplethysmography and Electrocardiography","귓속(외이도) 뇌파와 PPG·ECG를 활용한 지능형 졸음 인식 시스템","Information Sciences (SCI, IF 8.23)","Information Sciences (SCI, IF 8.23)"
published,"Ensemble Learning to Identify Depression Indicators for Korean Farmers","앙상블 학습을 활용한 한국 농민의 우울증 지표 식별","IEEE Access (SCIE, IF 3.9)","IEEE Access (SCIE, IF 3.9)"
published,"Non-Invasive Quantification of Corrosion in Cu Interconnects Using Regression Models With S-Parameters","S-파라미터를 활용한 회귀 모델 기반 구리 인터커넥트 부식의 비파괴적 정량화","IEEE Access (SCIE), 2025.01","IEEE Access (SCIE), 2025.01"
published,"Design of a Receiving Array Antenna with a Trapezoidal Configuration Using Multiple Rectifier Circuits for Wide-Angle Reception","광각 수신을 위한 다중 정류 회로를 활용한 사다리꼴 구조의 수신 배열 안테나 설계","JOURNAL OF ELECTROMAGNETIC ENGINEERING AND SCIENCE, VOL. 25, NO. 3, 271~278, MAY. 2025","JOURNAL OF ELECTROMAGNETIC ENGINEERING AND SCIENCE, VOL. 25, NO. 3, 271~278, MAY. 2025"
published,"Drowsiness Research using EEG with Intelligent Systems","지능형 시스템 활용 뇌파 기반 졸음 연구","SCIE 등재","SCIE 등재"
published,"HCI Smart Scale for Heart Rate Estimation Just by Standing","HCI 체중계 기반 비접촉식 심박 추정 시스템","SCIE 등재","SCIE 등재"
published,"AI Wheelchair with Non-contact Biosignal Measurement based on Signal Quality Index","신호품질지표 기반 비착용 방식 생체신호 측정 인공지능 휠체어","SCIE 등재","SCIE 등재"
published,"AI-based HCI System Utilizing Auditory Stimulation","AI기반 청각 자극 활용 HCI 시스템","SCIE 등재","SCIE 등재"
published,"Health-Toxic Water Quality Issue Diagnosis System based on SNS NLP","SNS 자연어처리 기반 건강에 유독한 수질 문제 상황 진단 시스템","SCIE 등재","SCIE 등재"
published,"Multi-Modal Medical Image Augmentation for Controlled Heterogeneity and Fair Outcomes","통제된 이질성과 공정한 결과를 위한 멀티모달 의료 이미지 데이터 증강","ICML 2025 R2-FM","ICML 2025 R2-FM"
published,"Enhancing 3D Medical Vision-Language Models with Slice-wise Visual Prompt","슬라이스 단위 시각적 프롬프트를 활용한 3D 의료 비전-언어 모델 성능 향상","MICCAI 2025 CREATE","MICCAI 2025 CREATE"
published,"Multilingual Challenges in Automated Evaluators: A Case Study on English and Korean","자동 평가의 다국어 챌린지: 영어와 한국어에 대한 사례 연구","AAAI 2025 Workshop","AAAI 2025 Workshop"
published,"Improving Fine-grained Visual Understanding in VLMs through Text-Only Training","텍스트만을 활용한 학습을 통한 VLM의 정밀한 시각 이해 향상","AAAI 2025 Workshop (AI2ASE)","AAAI 2025 Workshop (AI2ASE)"
published,"Assessing LLMs' Ability to Navigate Cultural Knowledge Conflicts","초거대 언어 모델(LLM)의 문화적 지식 갈등 탐색 능력 평가","ACL 2024 Workshop","ACL 2024 Workshop"
published,"K2EVAL: Harnessing the Evaluation of Linguistic Fluency and Ethnolinguistic Knowledge in Korean","한국어의 언어적 유창성과 민족언어학적 지식 평가 활용 (K2EVAL)","ACL 2024 Workshop (C3NLP)","ACL 2024 Workshop (C3NLP)"
published,"GPT-based MICA: Psychological Counseling AI based on Korean Anonymous Mental Health Platform","GPT 기반 MICA: 한국 익명 심리건강 플랫폼 기반 심리상담 AI","제34회 한글 및 한국어 정보처리 학술대회","제34회 한글 및 한국어 정보처리 학술대회"
published,"Integrated Machine Learning Analysis for Investigating Injury Factors Among Korean Farmer","한국 농업인의 손상 요인 조사를 위한 통합 머신러닝 분석","Journal of The Korean Data Analysis Society (December 2025), 27(6), 1881-1900","Journal of The Korean Data Analysis Society (December 2025), 27(6), 1881-1900"
published,"AI-based NIRS HCI System: Wireless Forehead Cerebral Blood Flow Measurement","AI기반 근적외선분광기(NIRS) HCI 시스템: 무선 이마 뇌혈류 측정","국내 등재 단독 저널 게재","국내 등재 단독 저널 게재"
published,"A Study on the Relationship of Occupational Diseases among Farmers using Various Correspondence Analyses","다양한 대응분석을 활용한 농업인의 업무상 질병 관계 연구","국내 등재 단독 저널 게재","국내 등재 단독 저널 게재"
progress,"Repurposing the VNA as a Non-Invasive Imaging Instrument: Learned Reconstruction of Spatial Corrosion Maps from S-Parameters","VNA를 비침습 이미징 장비로 재활용: S-파라미터 기반 공간적 부식 맵의 학습형 재구성","Under Review (IF 5.6)","심사 중 (IF 5.6)"
progress,"Data-Efficient Target-Domain Transformer Adaptation for Organoid Segmentation in Brightfield Images: From Linear Probing to Partial Fine-Tuning","명시야(Brightfield) 이미지의 오가노이드 분할을 위한 데이터 효율적 타깃 도메인 트랜스포머 적응: 선형 프로빙에서 부분 미세조정까지","Under Review (IF 4.9)","심사 중 (IF 4.9)"
progress,"Associations of Psychological Stress and Distress with Nutrient Intake and Metabolic Syndrome from the KNHANES 2021-2023","국민건강영양조사(2021-2023) 기반 심리적 스트레스/고통과 대사증후군의 연관성","Under Review (IF 4.5)","심사 중 (IF 4.5)"
progress,"Performance and Adversarial Vulnerability of Vision Language Models in Computer Tomography","컴퓨터 단층촬영(CT) 영상에서 비전-언어 모델의 성능 및 적대적 취약성 분석","Under Review (IF 3.8)","심사 중 (IF 3.8)"
award,"Encouragement Award at KIBME Winter Conference (2025)","한국방송·미디어공학회 동계학술대회 ‘장려상’","Digital Human of a Comfort-Women Survivor using TTS·LLM·3D (2025.12)","음성합성·거대언어모델·3D 기반 위안부 피해자 디지털 휴먼 소통 구현 (2025.12)"
award,"Encouragement Award at Korea Software Congress (KSC 2024)","한국소프트웨어종합학술대회 (KSC2024) ‘장려상’","A Study on the Satisfaction Evaluation of Psychological Counseling Chatbot (2025.02)","심리상담 챗봇의 만족도 평가 연구 (2025.02)"
award,"Encouragement Award (3 items) at Korea Computer Congress (KCC 2024)","한국컴퓨터종합학술대회 (KCC2024) '장려상' (3건)","Music Classification ML, VLM-based Coloring System, Chat-GPT Counseling Chatbot Satisfaction Comparison (2024.07)","음악 분류 머신러닝, 시각-언어 모델 기반 채색시스템, Chat-GPT 심리 상담 챗봇 만족도 비교 (2024.07)"
award,"Encouragement Award at Korea Software Congress (KSC 2023)","한국소프트웨어종합학술대회 (KSC2023) '장려상'","Machine Learning Research on Sleep Quality Index (2023.12)","수면 질 지표 머신러닝 연구 (2023.12)"
award,"Excellence Award at Korea Computer Congress (KCC 2023)","한국컴퓨터종합학술대회 (KCC2023) '우수상'","Fine-tuning for Semantic Image Segmentation (2023.06)","의미론적 이미지 영역 분할 파인튜닝 (2023.06)"
award,"Encouragement Award at Korea Computer Congress (KCC 2023)","한국컴퓨터종합학술대회 (KCC2023) '장려상'","1D CNN-based Drowsy Driving Detection (2023.06)","1D CNN 기반 졸음운전 감지 (2023.06)"
award,"Encouragement Award at Korea Computer Congress (KCC 2021)","한국컴퓨터종합학술대회 (KCC2021) '장려상'","Drowsiness Detection based on Heart Rate Estimation (2021.07)","심장박동 추정 기반 졸음 검출 (2021.07)"
award,"Outstanding Paper Award at Doctoral University Engineering Conference","박사학위교 공과대학 학술대회 ‘우수논문상’","2018","2018"
award,"Multiple Outstanding Paper and Poster Awards at KOSOMBE","대한의용생체공학회 ‘우수논문상’ 및 ‘우수포스터상’ 다수 수상","2013-2018","2013-2018"
